Converting 152 sessions with 12 workers (neural signal: dff)
[1/152] m11_day03 Env1_LocationB_to_A      cells   154 (iscell   155, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.93 kt=0 | load 0.2s dff 0.2s tot 0.5s | elapsed 4s
[2/152] m11_day04 Env1_LocationA           cells   167 (iscell   168, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.78 kt=0 | load 0.2s dff 0.3s tot 0.4s | elapsed 4s
[3/152] m11_day05 Env1_LocationA_to_C      cells   189 (iscell   189, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 0.3s dff 0.3s tot 0.7s | elapsed 5s
[4/152] m11_day06 Env1_LocationC           cells   175 (iscell   176, int   1)  trials  79/ 80 (lick-err 1, nan 0) rew 0.89 kt=0 | load 0.2s dff 0.3s tot 0.5s | elapsed 5s
[5/152] m11_day07 Env1_LocationC_to_B      cells   173 (iscell   174, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=1 | load 0.2s dff 0.4s tot 0.8s | elapsed 5s
[6/152] m11_day08 Env1_B_to_Env2_C         cells   180 (iscell   181, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=1 | load 0.2s dff 0.4s tot 0.6s | elapsed 5s
[7/152] m11_day09 Env2_LocationC           cells   190 (iscell   190, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.82 kt=0 | load 0.3s dff 0.3s tot 0.7s | elapsed 5s
[8/152] m11_day10 Env2_LocationC_to_A      cells   195 (iscell   198, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 0.2s dff 0.3s tot 0.6s | elapsed 5s
[9/152] m11_day11 Env2_LocationA           cells   203 (iscell   204, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.79 kt=0 | load 0.3s dff 0.3s tot 0.7s | elapsed 5s
[10/152] m11_day12 Env2_LocationA_to_B      cells   208 (iscell   209, int   1)  trials  79/ 80 (lick-err 1, nan 0) rew 0.89 kt=0 | load 0.3s dff 0.5s tot 0.8s | elapsed 5s
[11/152] m11_day13 Env2_LocationB           cells   243 (iscell   245, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.82 kt=0 | load 0.3s dff 0.5s tot 0.8s | elapsed 5s
[12/152] m11_day14 Env2_LocationB_to_C      cells   219 (iscell   219, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 0.3s dff 0.6s tot 0.9s | elapsed 5s
[13/152] m12_day01 Env1_LocationB           cells  1780 (iscell  1780, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=1 | load 0.9s dff 3.5s tot 4.7s | elapsed 9s
[14/152] m12_day02 Env1_LocationB           cells  1112 (iscell  1112, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=0 | load 0.6s dff 1.4s tot 2.2s | elapsed 9s
[15/152] m12_day03 Env1_LocationB_to_C      cells  1143 (iscell  1143, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.6s dff 1.5s tot 2.4s | elapsed 9s
[16/152] m12_day04 Env1_LocationC           cells  1017 (iscell  1017, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 0.5s dff 1.4s tot 2.0s | elapsed 9s
[17/152] m12_day05 Env1_LocationC_to_A      cells  1306 (iscell  1306, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 0.9s dff 2.0s tot 3.0s | elapsed 9s
[18/152] m12_day06 Env1_LocationA           cells  1079 (iscell  1084, int   5)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 0.6s dff 1.3s tot 2.1s | elapsed 9s
[19/152] m12_day07 Env1_LocationA_to_B      cells  1478 (iscell  1478, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 0.8s dff 3.0s tot 4.0s | elapsed 9s
[20/152] m12_day08 Env1_B_to_Env2_A         cells  1494 (iscell  1494, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=1 | load 0.7s dff 2.9s tot 3.8s | elapsed 9s
[21/152] m12_day09 Env2_LocationA           cells  1121 (iscell  1121, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.79 kt=0 | load 0.6s dff 1.3s tot 2.1s | elapsed 9s
[22/152] m12_day10 Env2_LocationA_to_C      cells  1327 (iscell  1327, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.78 kt=0 | load 0.6s dff 1.8s tot 2.6s | elapsed 9s
[23/152] m12_day11 Env2_LocationC           cells  1323 (iscell  1323, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 0.8s dff 2.6s tot 3.6s | elapsed 9s
[24/152] m12_day12 Env2_LocationC_to_B      cells  1184 (iscell  1184, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.7s dff 1.6s tot 2.4s | elapsed 9s
[25/152] m12_day13 Env2_LocationB           cells  1118 (iscell  1118, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.76 kt=0 | load 0.6s dff 1.6s tot 2.3s | elapsed 9s
[26/152] m12_day14 Env2_LocationB_to_A      cells  1354 (iscell  1354, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=1 | load 0.8s dff 2.4s tot 3.4s | elapsed 10s
[27/152] m13_day01 Env1_LocationC           cells   686 (iscell   686, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.70 kt=1 | load 0.6s dff 1.7s tot 2.6s | elapsed 10s
[28/152] m13_day02 Env1_LocationC           cells   550 (iscell   550, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.7s dff 0.9s tot 1.8s | elapsed 10s
[29/152] m13_day03 Env1_LocationC_to_B      cells   616 (iscell   616, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 0.5s dff 1.0s tot 1.7s | elapsed 10s
[30/152] m13_day04 Env1_LocationB           cells   503 (iscell   503, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=0 | load 0.5s dff 0.9s tot 1.4s | elapsed 10s
[31/152] m13_day05 Env1_LocationB_to_A      cells   704 (iscell   704, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.82 kt=0 | load 0.5s dff 1.1s tot 1.7s | elapsed 10s
[32/152] m13_day06 Env1_LocationA           cells   519 (iscell   519, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.5s dff 0.8s tot 1.4s | elapsed 10s
[33/152] m13_day07 Env1_LocationA_to_C      cells   834 (iscell   834, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=1 | load 0.7s dff 1.8s tot 2.7s | elapsed 11s
[34/152] m13_day08 Env1_C_to_Env2_A         cells   707 (iscell   707, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=1 | load 0.6s dff 1.5s tot 2.2s | elapsed 11s
