Mode: full; sessions: 152
Paper-matched neural processing: maximin dF/F + OASIS at 15.5078125 Hz
[  1/152] m11_ses-03: 154 neurons, 80 trials, 14282 samples, 0.46s
[  2/152] m11_ses-04: 167 neurons, 80 trials, 14616 samples, 0.47s
[  3/152] m11_ses-05: 189 neurons, 80 trials, 14731 samples, 0.56s
[  4/152] m11_ses-06: 175 neurons, 79 trials, 15045 samples, 0.54s
[  5/152] m11_ses-07: 173 neurons, 80 trials, 14302 samples, 0.53s
[  6/152] m11_ses-08: 180 neurons, 80 trials, 13941 samples, 0.64s
[  7/152] m11_ses-09: 190 neurons, 79 trials, 12806 samples, 0.60s
[  8/152] m11_ses-10: 195 neurons, 80 trials, 14018 samples, 0.65s
[  9/152] m11_ses-11: 203 neurons, 80 trials, 13779 samples, 0.58s
[ 10/152] m11_ses-12: 208 neurons, 79 trials, 15468 samples, 0.55s
[ 11/152] m11_ses-13: 243 neurons, 80 trials, 16032 samples, 0.61s
[ 12/152] m11_ses-14: 215 neurons, 80 trials, 14817 samples, 0.61s
[ 13/152] m12_ses-01: 1780 neurons, 80 trials, 11745 samples, 2.30s
[ 14/152] m12_ses-02: 1112 neurons, 80 trials, 11476 samples, 1.56s
[ 15/152] m12_ses-03: 1143 neurons, 80 trials, 11712 samples, 1.82s
[ 16/152] m12_ses-04: 1017 neurons, 80 trials, 12048 samples, 1.66s
[ 17/152] m12_ses-05: 1306 neurons, 80 trials, 13084 samples, 1.95s
[ 18/152] m12_ses-06: 1079 neurons, 80 trials, 11031 samples, 1.79s
[ 19/152] m12_ses-07: 1478 neurons, 80 trials, 12185 samples, 1.96s
[ 20/152] m12_ses-08: 1494 neurons, 80 trials, 11699 samples, 2.05s
[ 21/152] m12_ses-09: 1121 neurons, 80 trials, 10091 samples, 1.48s
[ 22/152] m12_ses-10: 1327 neurons, 79 trials, 11138 samples, 1.91s
[ 23/152] m12_ses-11: 1323 neurons, 80 trials, 15225 samples, 2.16s
[ 24/152] m12_ses-12: 1184 neurons, 80 trials, 11572 samples, 2.18s
[ 25/152] m12_ses-13: 1118 neurons, 80 trials, 11913 samples, 2.15s
[ 26/152] m12_ses-14: 1354 neurons, 80 trials, 10433 samples, 1.76s
[ 27/152] m13_ses-01: 686 neurons, 80 trials, 14849 samples, 1.65s
[ 28/152] m13_ses-02: 550 neurons, 80 trials, 15464 samples, 1.23s
[ 29/152] m13_ses-03: 616 neurons, 80 trials, 14719 samples, 1.53s
[ 30/152] m13_ses-04: 503 neurons, 80 trials, 13943 samples, 1.21s
[ 31/152] m13_ses-05: 704 neurons, 80 trials, 13094 samples, 1.38s
[ 32/152] m13_ses-06: 519 neurons, 80 trials, 12471 samples, 1.12s
[ 33/152] m13_ses-07: 834 neurons, 80 trials, 13302 samples, 1.52s
[ 34/152] m13_ses-08: 707 neurons, 80 trials, 12838 samples, 1.33s
[ 35/152] m13_ses-09: 557 neurons, 80 trials, 12490 samples, 1.17s
[ 36/152] m13_ses-10: 603 neurons, 80 trials, 15292 samples, 1.40s
[ 37/152] m13_ses-11: 657 neurons, 80 trials, 18133 samples, 1.63s
[ 38/152] m13_ses-12: 595 neurons, 80 trials, 15421 samples, 1.24s
[ 39/152] m13_ses-13: 479 neurons, 60 trials, 9917 samples, 0.87s
[ 40/152] m13_ses-14: 749 neurons, 80 trials, 14043 samples, 1.59s
[ 41/152] m14_ses-01: 981 neurons, 80 trials, 16291 samples, 1.99s
[ 42/152] m14_ses-02: 591 neurons, 73 trials, 16184 samples, 1.29s
[ 43/152] m14_ses-03: 753 neurons, 80 trials, 16316 samples, 1.41s
[ 44/152] m14_ses-04: 647 neurons, 80 trials, 12807 samples, 1.32s
[ 45/152] m14_ses-05: 603 neurons, 80 trials, 12880 samples, 1.27s
[ 46/152] m14_ses-06: 615 neurons, 80 trials, 12252 samples, 1.21s
[ 47/152] m14_ses-07: 927 neurons, 80 trials, 11645 samples, 1.50s
[ 48/152] m14_ses-08: 989 neurons, 80 trials, 11620 samples, 1.84s
[ 49/152] m14_ses-09: 499 neurons, 80 trials, 10329 samples, 0.96s
[ 50/152] m14_ses-10: 727 neurons, 80 trials, 11004 samples, 1.22s
[ 51/152] m14_ses-11: 554 neurons, 80 trials, 10737 samples, 1.04s
[ 52/152] m14_ses-12: 609 neurons, 80 trials, 10315 samples, 1.10s
[ 53/152] m14_ses-13: 470 neurons, 80 trials, 9401 samples, 0.79s
[ 54/152] m14_ses-14: 874 neurons, 80 trials, 12112 samples, 1.32s
[ 55/152] m15_ses-01: 1133 neurons, 80 trials, 17586 samples, 2.16s
[ 56/152] m15_ses-02: 1042 neurons, 80 trials, 14646 samples, 1.77s
[ 57/152] m15_ses-03: 1426 neurons, 80 trials, 15293 samples, 2.27s
[ 58/152] m15_ses-04: 1167 neurons, 80 trials, 19569 samples, 2.48s
[ 59/152] m15_ses-05: 1483 neurons, 74 trials, 15299 samples, 2.61s
[ 60/152] m15_ses-06: 1041 neurons, 80 trials, 12922 samples, 1.48s
[ 61/152] m15_ses-07: 1308 neurons, 80 trials, 12423 samples, 2.02s
[ 62/152] m15_ses-08: 1307 neurons, 80 trials, 12998 samples, 1.88s
[ 63/152] m15_ses-09: 1070 neurons, 80 trials, 11098 samples, 1.40s
[ 64/152] m15_ses-10: 1282 neurons, 80 trials, 13481 samples, 1.99s
[ 65/152] m15_ses-11: 754 neurons, 80 trials, 12623 samples, 1.14s
[ 66/152] m15_ses-12: 1127 neurons, 80 trials, 9993 samples, 1.47s
[ 67/152] m15_ses-13: 875 neurons, 79 trials, 10639 samples, 1.47s
[ 68/152] m15_ses-14: 1195 neurons, 78 trials, 13057 samples, 1.95s
[ 69/152] m17_ses-01: 590 neurons, 79 trials, 16074 samples, 1.73s
[ 70/152] m17_ses-02: 440 neurons, 80 trials, 13935 samples, 1.94s
[ 71/152] m17_ses-03: 676 neurons, 79 trials, 15191 samples, 1.72s
[ 72/152] m17_ses-04: 504 neurons, 80 trials, 16181 samples, 1.53s
[ 73/152] m17_ses-05: 838 neurons, 80 trials, 21568 samples, 2.69s
[ 74/152] m17_ses-06: 491 neurons, 79 trials, 24664 samples, 2.32s
[ 75/152] m17_ses-07: 690 neurons, 80 trials, 21762 samples, 2.62s
[ 76/152] m17_ses-08: 587 neurons, 80 trials, 16214 samples, 1.61s
[ 77/152] m17_ses-09: 539 neurons, 79 trials, 23433 samples, 2.31s
[ 78/152] m17_ses-10: 679 neurons, 80 trials, 18517 samples, 1.95s
[ 79/152] m17_ses-11: 621 neurons, 80 trials, 14169 samples, 1.61s
[ 80/152] m17_ses-12: 739 neurons, 80 trials, 13987 samples, 2.58s
[ 81/152] m17_ses-13: 465 neurons, 80 trials, 15540 samples, 1.72s
[ 82/152] m17_ses-14: 766 neurons, 80 trials, 13621 samples, 1.95s
[ 83/152] m18_ses-01: 2281 neurons, 80 trials, 16551 samples, 4.99s
[ 84/152] m18_ses-02: 1636 neurons, 80 trials, 16966 samples, 3.81s
[ 85/152] m18_ses-03: 2323 neurons, 76 trials, 20568 samples, 5.47s
[ 86/152] m18_ses-04: 1631 neurons, 80 trials, 20233 samples, 3.68s
[ 87/152] m18_ses-05: 2106 neurons, 80 trials, 24105 samples, 5.48s
[ 88/152] m18_ses-06: 1368 neurons, 80 trials, 19248 samples, 3.68s
