Processing 152 sessions; target bin 64.483627 ms
[1/152] sub-m11_ses-03_behavior+ophys.nwb: neurons=155 trials=80 rewarded=74 factor=1 lick_bad=0 time=0.16s
[2/152] sub-m11_ses-04_behavior+ophys.nwb: neurons=168 trials=80 rewarded=62 factor=1 lick_bad=0 time=0.15s
[3/152] sub-m11_ses-05_behavior+ophys.nwb: neurons=189 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.21s
[4/152] sub-m11_ses-06_behavior+ophys.nwb: neurons=176 trials=80 rewarded=71 factor=1 lick_bad=1 time=0.34s
[5/152] sub-m11_ses-07_behavior+ophys.nwb: neurons=174 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.17s
[6/152] sub-m11_ses-08_behavior+ophys.nwb: neurons=181 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.22s
[7/152] sub-m11_ses-09_behavior+ophys.nwb: neurons=190 trials=80 rewarded=66 factor=1 lick_bad=1 time=0.21s
[8/152] sub-m11_ses-10_behavior+ophys.nwb: neurons=198 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.21s
[9/152] sub-m11_ses-11_behavior+ophys.nwb: neurons=204 trials=80 rewarded=63 factor=1 lick_bad=0 time=0.20s
[10/152] sub-m11_ses-12_behavior+ophys.nwb: neurons=209 trials=80 rewarded=71 factor=1 lick_bad=1 time=0.31s
[11/152] sub-m11_ses-13_behavior+ophys.nwb: neurons=245 trials=80 rewarded=66 factor=1 lick_bad=0 time=0.20s
[12/152] sub-m11_ses-14_behavior+ophys.nwb: neurons=219 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.19s
[13/152] sub-m12_ses-01_behavior+ophys.nwb: neurons=1780 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.57s
[14/152] sub-m12_ses-02_behavior+ophys.nwb: neurons=1112 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.42s
[15/152] sub-m12_ses-03_behavior+ophys.nwb: neurons=1143 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.35s
[16/152] sub-m12_ses-04_behavior+ophys.nwb: neurons=1017 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.39s
[17/152] sub-m12_ses-05_behavior+ophys.nwb: neurons=1306 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.57s
[18/152] sub-m12_ses-06_behavior+ophys.nwb: neurons=1084 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.32s
[19/152] sub-m12_ses-07_behavior+ophys.nwb: neurons=1478 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.51s
[20/152] sub-m12_ses-08_behavior+ophys.nwb: neurons=1494 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.35s
