m11_03: 80 trials, 155 cells, 0.26s
m11_04: 80 trials, 168 cells, 0.22s
m11_05: 80 trials, 189 cells, 0.21s
m11_06: 80 trials, 176 cells, 0.19s
m11_07: 80 trials, 174 cells, 0.32s
m11_08: 80 trials, 181 cells, 0.31s
m11_09: 80 trials, 190 cells, 0.29s
m11_10: 80 trials, 198 cells, 0.24s
m11_11: 80 trials, 204 cells, 0.27s
m11_12: 80 trials, 209 cells, 0.31s
m11_13: 80 trials, 245 cells, 0.34s
m11_14: 80 trials, 219 cells, 0.26s
m12_01: 80 trials, 1780 cells, 0.72s
m12_02: 80 trials, 1112 cells, 0.53s
m12_03: 80 trials, 1143 cells, 0.51s
m12_04: 80 trials, 1017 cells, 0.52s
m12_05: 80 trials, 1306 cells, 0.60s
m12_06: 80 trials, 1084 cells, 0.46s
m12_07: 80 trials, 1478 cells, 0.59s
m12_08: 80 trials, 1494 cells, 0.59s
m12_09: 80 trials, 1121 cells, 0.45s
m12_10: 80 trials, 1327 cells, 0.52s
m12_11: 80 trials, 1323 cells, 0.66s
m12_12: 80 trials, 1184 cells, 0.48s
m12_13: 80 trials, 1118 cells, 0.56s
m12_14: 80 trials, 1354 cells, 0.48s
m13_01: 80 trials, 686 cells, 0.51s
m13_02: 80 trials, 550 cells, 0.50s
m13_03: 80 trials, 616 cells, 0.44s
m13_04: 80 trials, 503 cells, 0.36s
m13_05: 80 trials, 704 cells, 0.47s
m13_06: 80 trials, 519 cells, 0.32s
m13_07: 80 trials, 834 cells, 0.49s
m13_08: 80 trials, 707 cells, 0.39s
m13_09: 80 trials, 557 cells, 0.35s
m13_10: 80 trials, 603 cells, 0.42s
m13_11: 80 trials, 657 cells, 0.48s
m13_12: 80 trials, 595 cells, 0.41s
m13_13: 60 trials, 479 cells, 0.36s
m13_14: 80 trials, 749 cells, 0.50s
m14_01: 80 trials, 981 cells, 0.59s
m14_02: 80 trials, 592 cells, 0.44s
m14_03: 80 trials, 753 cells, 0.47s
m14_04: 80 trials, 648 cells, 0.35s
m14_05: 80 trials, 603 cells, 0.37s
m14_06: 80 trials, 619 cells, 0.35s
m14_07: 80 trials, 927 cells, 0.42s
m14_08: 80 trials, 990 cells, 0.55s
m14_09: 80 trials, 500 cells, 0.27s
m14_10: 80 trials, 727 cells, 0.39s
m14_11: 80 trials, 554 cells, 0.34s
sub-m14_ses-12_behavior+ophys.nwb: excluded 1 trials outside complete neural coverage
m14_12: 79 trials, 611 cells, 0.35s
m14_13: 80 trials, 483 cells, 0.31s
m14_14: 80 trials, 876 cells, 0.42s
m15_01: 80 trials, 1133 cells, 0.65s
m15_02: 80 trials, 1045 cells, 0.52s
m15_03: 80 trials, 1426 cells, 0.67s
m15_04: 80 trials, 1167 cells, 0.68s
m15_05: 80 trials, 1483 cells, 0.77s
m15_06: 80 trials, 1041 cells, 0.49s
m15_07: 80 trials, 1308 cells, 0.55s
m15_08: 80 trials, 1307 cells, 0.60s
m15_09: 80 trials, 1070 cells, 0.45s
m15_10: 80 trials, 1283 cells, 0.55s
m15_11: 80 trials, 754 cells, 0.36s
m15_12: 80 trials, 1127 cells, 0.49s
m15_13: 80 trials, 875 cells, 0.54s
m15_14: 80 trials, 1195 cells, 0.66s
m17_01: 80 trials, 591 cells, 0.71s
m17_02: 80 trials, 442 cells, 0.80s
m17_03: 80 trials, 676 cells, 0.58s
m17_04: 80 trials, 506 cells, 0.72s
m17_05: 80 trials, 838 cells, 0.85s
m17_06: 80 trials, 491 cells, 0.68s
m17_07: 80 trials, 690 cells, 0.87s
m17_08: 80 trials, 593 cells, 0.64s
m17_09: 80 trials, 539 cells, 0.77s
m17_10: 80 trials, 683 cells, 0.61s
m17_11: 80 trials, 629 cells, 0.55s
m17_12: 80 trials, 747 cells, 0.51s
m17_13: 80 trials, 468 cells, 0.63s
m17_14: 80 trials, 770 cells, 0.62s
m18_01: 80 trials, 2281 cells, 1.34s
m18_02: 80 trials, 1639 cells, 1.11s
m18_03: 80 trials, 2341 cells, 1.78s
m18_04: 80 trials, 1634 cells, 1.33s
m18_05: 80 trials, 2115 cells, 1.88s
m18_06: 80 trials, 1378 cells, 1.14s
m18_07: 80 trials, 1726 cells, 1.10s
m18_08: 80 trials, 2314 cells, 1.63s
m18_09: 80 trials, 1696 cells, 1.14s
m18_10: 80 trials, 1899 cells, 1.10s
m18_11: 80 trials, 1382 cells, 0.83s
m18_12: 80 trials, 1927 cells, 1.25s
m18_13: 80 trials, 1433 cells, 0.79s
m18_14: 80 trials, 1955 cells, 1.31s
m19_01: 80 trials, 528 cells, 0.54s
m19_02: 80 trials, 407 cells, 0.43s
m19_03: 80 trials, 465 cells, 0.44s
m19_04: 80 trials, 550 cells, 0.56s
m19_05: 80 trials, 472 cells, 0.45s
m19_06: 80 trials, 504 cells, 0.41s
m19_07: 80 trials, 596 cells, 0.52s
m19_08: 80 trials, 566 cells, 0.56s
m19_09: 80 trials, 434 cells, 0.39s
m19_10: 80 trials, 469 cells, 0.57s
m19_11: 80 trials, 378 cells, 0.46s
m19_12: 80 trials, 558 cells, 0.45s
m19_13: 80 trials, 428 cells, 0.35s
m19_14: 80 trials, 589 cells, 0.45s
m3_01: 80 trials, 1052 cells, 1.11s
m3_02: 80 trials, 917 cells, 0.84s
m3_03: 80 trials, 1059 cells, 0.93s
