nohup: ignoring input
found 152 NWB files
processing 152 sessions with 12 workers
  sub-m11_ses-12_behavior+ophys.nwb: 208 neurons (209 iscell, 1 interneurons), 79/80 trials, load 0.3s dff 3.5s total 3.9s
  sub-m11_ses-14_behavior+ophys.nwb: 219 neurons (219 iscell, 0 interneurons), 80/80 trials, load 0.4s dff 3.7s total 4.1s
  sub-m11_ses-06_behavior+ophys.nwb: 175 neurons (176 iscell, 1 interneurons), 79/80 trials, load 0.2s dff 8.0s total 8.4s
  sub-m11_ses-09_behavior+ophys.nwb: 190 neurons (190 iscell, 0 interneurons), 79/80 trials, load 0.2s dff 8.4s total 8.7s
  sub-m11_ses-05_behavior+ophys.nwb: 189 neurons (189 iscell, 0 interneurons), 80/80 trials, load 0.2s dff 8.5s total 8.9s
  sub-m11_ses-04_behavior+ophys.nwb: 167 neurons (168 iscell, 1 interneurons), 80/80 trials, load 0.3s dff 8.5s total 8.9s
  sub-m11_ses-08_behavior+ophys.nwb: 180 neurons (181 iscell, 1 interneurons), 80/80 trials, load 0.3s dff 8.6s total 9.0s
  sub-m11_ses-03_behavior+ophys.nwb: 154 neurons (155 iscell, 1 interneurons), 80/80 trials, load 0.3s dff 8.7s total 9.1s
  sub-m11_ses-10_behavior+ophys.nwb: 195 neurons (198 iscell, 3 interneurons), 80/80 trials, load 0.2s dff 8.7s total 9.1s
  sub-m11_ses-07_behavior+ophys.nwb: 173 neurons (174 iscell, 1 interneurons), 80/80 trials, load 0.3s dff 8.8s total 9.2s
  sub-m11_ses-11_behavior+ophys.nwb: 203 neurons (204 iscell, 1 interneurons), 80/80 trials, load 0.3s dff 8.8s total 9.2s
  sub-m11_ses-13_behavior+ophys.nwb: 243 neurons (245 iscell, 2 interneurons), 80/80 trials, load 0.3s dff 8.8s total 9.2s
  sub-m12_ses-02_behavior+ophys.nwb: 1112 neurons (1112 iscell, 0 interneurons), 80/80 trials, load 1.6s dff 4.3s total 5.9s
  sub-m12_ses-03_behavior+ophys.nwb: 1143 neurons (1143 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 5.1s total 6.6s
  sub-m12_ses-01_behavior+ophys.nwb: 1780 neurons (1780 iscell, 0 interneurons), 80/80 trials, load 2.8s dff 8.2s total 11.4s
  sub-m12_ses-13_behavior+ophys.nwb: 1118 neurons (1118 iscell, 0 interneurons), 80/80 trials, load 0.4s dff 5.8s total 6.5s
  sub-m12_ses-04_behavior+ophys.nwb: 1017 neurons (1017 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 7.4s total 8.4s
  sub-m12_ses-09_behavior+ophys.nwb: 1121 neurons (1121 iscell, 0 interneurons), 80/80 trials, load 0.6s dff 7.5s total 8.4s
  sub-m12_ses-06_behavior+ophys.nwb: 1079 neurons (1084 iscell, 5 interneurons), 80/80 trials, load 0.6s dff 7.6s total 8.6s
  sub-m12_ses-12_behavior+ophys.nwb: 1184 neurons (1184 iscell, 0 interneurons), 80/80 trials, load 0.6s dff 8.2s total 9.0s
  sub-m12_ses-10_behavior+ophys.nwb: 1327 neurons (1327 iscell, 0 interneurons), 79/80 trials, load 0.7s dff 8.9s total 10.0s
  sub-m12_ses-05_behavior+ophys.nwb: 1306 neurons (1306 iscell, 0 interneurons), 80/80 trials, load 0.9s dff 9.1s total 10.3s
  sub-m12_ses-11_behavior+ophys.nwb: 1323 neurons (1323 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 9.4s total 10.5s
  sub-m12_ses-08_behavior+ophys.nwb: 1494 neurons (1494 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 9.8s total 11.0s
  sub-m12_ses-07_behavior+ophys.nwb: 1478 neurons (1478 iscell, 0 interneurons), 80/80 trials, load 0.9s dff 10.0s total 11.5s
  sub-m13_ses-01_behavior+ophys.nwb: 686 neurons (686 iscell, 0 interneurons), 80/80 trials, load 1.4s dff 7.1s total 8.8s
  sub-m13_ses-02_behavior+ophys.nwb: 550 neurons (550 iscell, 0 interneurons), 80/80 trials, load 1.1s dff 6.8s total 8.1s
  sub-m13_ses-04_behavior+ophys.nwb: 503 neurons (503 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 6.9s total 7.9s
  sub-m13_ses-03_behavior+ophys.nwb: 616 neurons (616 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 7.3s total 8.3s
  sub-m13_ses-05_behavior+ophys.nwb: 704 neurons (704 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 7.7s total 8.6s
  sub-m13_ses-06_behavior+ophys.nwb: 519 neurons (519 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 7.3s total 8.1s
  sub-m12_ses-14_behavior+ophys.nwb: 1354 neurons (1354 iscell, 0 interneurons), 80/80 trials, load 1.4s dff 9.5s total 11.2s
  sub-m13_ses-09_behavior+ophys.nwb: 557 neurons (557 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 7.0s total 8.0s
  sub-m13_ses-08_behavior+ophys.nwb: 707 neurons (707 iscell, 0 interneurons), 80/80 trials, load 0.9s dff 8.1s total 9.2s
  sub-m13_ses-10_behavior+ophys.nwb: 603 neurons (603 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 7.3s total 8.7s
  sub-m13_ses-07_behavior+ophys.nwb: 834 neurons (834 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 8.8s total 10.0s
  sub-m13_ses-11_behavior+ophys.nwb: 657 neurons (657 iscell, 0 interneurons), 80/80 trials, load 1.3s dff 8.4s total 10.5s
  sub-m13_ses-13_behavior+ophys.nwb: 479 neurons (479 iscell, 0 interneurons), 60/60 trials, load 1.0s dff 5.4s total 6.5s
  sub-m13_ses-12_behavior+ophys.nwb: 595 neurons (595 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 6.1s total 7.3s
  sub-m13_ses-14_behavior+ophys.nwb: 749 neurons (749 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 7.4s total 8.9s
  sub-m14_ses-02_behavior+ophys.nwb: 591 neurons (592 iscell, 1 interneurons), 73/80 trials, load 0.8s dff 7.4s total 8.5s
