nohup: ignoring input
Converting 152 sessions with 12 workers (signal=dff)
[1/152] sub-m11_ses-03_behavior+ophys.nwb cells=154 (iscell 155, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.7s
[2/152] sub-m11_ses-04_behavior+ophys.nwb cells=167 (iscell 168, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.4s
[3/152] sub-m11_ses-05_behavior+ophys.nwb cells=189 (iscell 189, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.5s
[4/152] sub-m11_ses-06_behavior+ophys.nwb cells=175 (iscell 176, interneurons 1) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.3s
[5/152] sub-m11_ses-07_behavior+ophys.nwb cells=173 (iscell 174, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.5s
[6/152] sub-m11_ses-08_behavior+ophys.nwb cells=180 (iscell 181, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.0s
[7/152] sub-m11_ses-09_behavior+ophys.nwb cells=190 (iscell 190, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[8/152] sub-m11_ses-10_behavior+ophys.nwb cells=195 (iscell 198, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.9s
[9/152] sub-m11_ses-11_behavior+ophys.nwb cells=203 (iscell 204, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.9s
[10/152] sub-m11_ses-12_behavior+ophys.nwb cells=208 (iscell 209, interneurons 1) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.0s
[11/152] sub-m11_ses-13_behavior+ophys.nwb cells=243 (iscell 245, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=3.1s
[12/152] sub-m11_ses-14_behavior+ophys.nwb cells=215 (iscell 219, interneurons 4) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[13/152] sub-m12_ses-01_behavior+ophys.nwb cells=1780 (iscell 1780, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.8s
[14/152] sub-m12_ses-02_behavior+ophys.nwb cells=1112 (iscell 1112, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.3s
[15/152] sub-m12_ses-03_behavior+ophys.nwb cells=1143 (iscell 1143, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.8s
[16/152] sub-m12_ses-04_behavior+ophys.nwb cells=1017 (iscell 1017, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.3s
[17/152] sub-m12_ses-05_behavior+ophys.nwb cells=1306 (iscell 1306, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.2s
[18/152] sub-m12_ses-06_behavior+ophys.nwb cells=1079 (iscell 1084, interneurons 5) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.4s
[19/152] sub-m12_ses-07_behavior+ophys.nwb cells=1478 (iscell 1478, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.4s
[20/152] sub-m12_ses-08_behavior+ophys.nwb cells=1494 (iscell 1494, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.2s
[21/152] sub-m12_ses-09_behavior+ophys.nwb cells=1121 (iscell 1121, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.2s
[22/152] sub-m12_ses-10_behavior+ophys.nwb cells=1327 (iscell 1327, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.3s
[23/152] sub-m12_ses-11_behavior+ophys.nwb cells=1323 (iscell 1323, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.9s
[24/152] sub-m12_ses-12_behavior+ophys.nwb cells=1184 (iscell 1184, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.9s
[25/152] sub-m12_ses-13_behavior+ophys.nwb cells=1118 (iscell 1118, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.4s
[26/152] sub-m12_ses-14_behavior+ophys.nwb cells=1354 (iscell 1354, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.4s
[27/152] sub-m13_ses-01_behavior+ophys.nwb cells=686 (iscell 686, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.2s
[28/152] sub-m13_ses-02_behavior+ophys.nwb cells=550 (iscell 550, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.4s
[29/152] sub-m13_ses-03_behavior+ophys.nwb cells=616 (iscell 616, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[30/152] sub-m13_ses-04_behavior+ophys.nwb cells=503 (iscell 503, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.4s
[31/152] sub-m13_ses-05_behavior+ophys.nwb cells=704 (iscell 704, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[32/152] sub-m13_ses-06_behavior+ophys.nwb cells=519 (iscell 519, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.8s
[33/152] sub-m13_ses-07_behavior+ophys.nwb cells=834 (iscell 834, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.5s
