Requested mode: full
Candidate local sessions from manifest: 459
Session workers: 8
[skip] 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: Missing wheel files for /app/data/one_cache/steinmetzlab/Subjects/NR_0029/2023-09-07/001
[ok] d85c454e-8737-4cba-b6ad-b2339429d99b: raw_trials=413, kept_trials=325, good_clusters=17, whisker=left, elapsed=1.8s
[ok] de905562-31c6-4c31-9ece-3ee87b97eab4: raw_trials=401, kept_trials=314, good_clusters=19, whisker=left, elapsed=4.9s
[ok] 4e560423-5caf-4cda-8511-d1ab4cd2bf7d: raw_trials=575, kept_trials=442, good_clusters=7, whisker=left, elapsed=4.7s
[ok] e6594a5b-552c-421a-b376-1a1baa9dc4fd: raw_trials=401, kept_trials=248, good_clusters=70, whisker=left, elapsed=7.5s
[ok] 15b69921-d471-4ded-8814-2adad954bcd8: raw_trials=825, kept_trials=610, good_clusters=128, whisker=left, elapsed=14.5s
[ok] 11163613-a6c9-4975-9586-84dc00481547: raw_trials=816, kept_trials=593, good_clusters=138, whisker=left, elapsed=15.7s
[ok] 3f71aa98-08c6-4e79-b4c8-00eae4f03eff: raw_trials=672, kept_trials=467, good_clusters=147, whisker=left, elapsed=10.6s
[ok] a1782f4f-86b0-480c-a7f2-3d8f1ab482ab: raw_trials=741, kept_trials=514, good_clusters=113, whisker=left, elapsed=10.3s
[ok] 35eeb752-8f4f-4040-9714-ba0f5b7ccdfe: raw_trials=762, kept_trials=538, good_clusters=147, whisker=left, elapsed=7.6s
[ok] 5ae68c54-2897-4d3a-8120-426150704385: raw_trials=740, kept_trials=204, good_clusters=134, whisker=left, elapsed=23.4s
[ok] 97c1d08d-57b4-4595-8052-91eb84ebfd74: raw_trials=779, kept_trials=565, good_clusters=136, whisker=left, elapsed=13.1s
[ok] caa5dddc-9290-4e27-9f5e-575ba3598614: raw_trials=404, kept_trials=280, good_clusters=186, whisker=left, elapsed=4.4s
[ok] ca4ecb4c-4b60-4723-9b9e-2c54a6290a53: raw_trials=620, kept_trials=226, good_clusters=136, whisker=left, elapsed=9.8s
[ok] ebce500b-c530-47de-8cb1-963c552703ea: raw_trials=569, kept_trials=398, good_clusters=291, whisker=left, elapsed=30.9s
[ok] 7dd27c2f-9544-448d-918d-be0f9837b0e0: raw_trials=525, kept_trials=274, good_clusters=143, whisker=left, elapsed=11.2s
[ok] e6bdb1f4-b0bf-4451-8f23-4384f2102f91: raw_trials=773, kept_trials=456, good_clusters=76, whisker=left, elapsed=7.5s
