Candidate sessions: 459 (sample=False)
behavior 1/459 6713a4a7-faed-4df2-acab-ee4e63326f8d: {'eid': '6713a4a7-faed-4df2-acab-ee4e63326f8d', 'trials': 407, 'side': 'left', 'raw': 565, 'base_valid': 407, 'seconds': 0.3342280387878418}
behavior 2/459 56956777-dca5-468c-87cb-78150432cc57: {'eid': '56956777-dca5-468c-87cb-78150432cc57', 'trials': 244, 'side': 'left', 'raw': 425, 'base_valid': 244, 'seconds': 0.2252345085144043}
behavior 3/459 4364a246-f8d7-4ce7-ba23-a098104b96e4: {'eid': '4364a246-f8d7-4ce7-ba23-a098104b96e4', 'trials': 147, 'side': 'left', 'raw': 557, 'base_valid': 148, 'seconds': 0.2938523292541504}
behavior 4/459 b182b754-3c3e-4942-8144-6ee790926b58: {'eid': 'b182b754-3c3e-4942-8144-6ee790926b58', 'trials': 221, 'side': 'right', 'raw': 444, 'base_valid': 221, 'seconds': 0.2530045509338379}
behavior 5/459 a8a8af78-16de-4841-ab07-fde4b5281a03: {'eid': 'a8a8af78-16de-4841-ab07-fde4b5281a03', 'trials': 337, 'side': 'left', 'raw': 550, 'base_valid': 337, 'seconds': 0.31800365447998047}
behavior 6/459 032ffcdf-7692-40b3-b9ff-8def1fc18b2e: {'eid': '032ffcdf-7692-40b3-b9ff-8def1fc18b2e', 'trials': 267, 'side': 'left', 'raw': 581, 'base_valid': 267, 'seconds': 0.3250441551208496}
behavior 7/459 8c33abef-3d3e-4d42-9f27-445e9def08f9: {'eid': '8c33abef-3d3e-4d42-9f27-445e9def08f9', 'trials': 486, 'side': 'left', 'raw': 721, 'base_valid': 486, 'seconds': 0.37316250801086426}
behavior 8/459 ebe2efe3-e8a1-451a-8947-76ef42427cc9: {'eid': 'ebe2efe3-e8a1-451a-8947-76ef42427cc9', 'trials': 352, 'side': 'left', 'raw': 672, 'base_valid': 352, 'seconds': 0.2931325435638428}
behavior 9/459 77e6dc6a-66ed-433c-b1a2-778c914f523c: {'eid': '77e6dc6a-66ed-433c-b1a2-778c914f523c', 'trials': 590, 'side': 'left', 'raw': 784, 'base_valid': 590, 'seconds': 0.32868123054504395}
behavior 10/459 5569f363-0934-464e-9a5b-77c8e67791a1: {'eid': '5569f363-0934-464e-9a5b-77c8e67791a1', 'trials': 509, 'side': 'left', 'raw': 717, 'base_valid': 509, 'seconds': 0.3104374408721924}
behavior 11/459 5ec72172-3901-4771-8777-6e9490ca51fc: {'eid': '5ec72172-3901-4771-8777-6e9490ca51fc', 'trials': 695, 'side': 'left', 'raw': 933, 'base_valid': 695, 'seconds': 0.3711223602294922}
behavior 12/459 7af49c00-63dd-4fed-b2e0-1b3bd945b20b: {'eid': '7af49c00-63dd-4fed-b2e0-1b3bd945b20b', 'trials': 321, 'side': 'left', 'raw': 414, 'base_valid': 321, 'seconds': 0.20357489585876465}
behavior 13/459 f88d4dd4-ccd7-400e-9035-fa00be3bcfa8: {'eid': 'f88d4dd4-ccd7-400e-9035-fa00be3bcfa8', 'trials': 226, 'side': 'left', 'raw': 401, 'base_valid': 226, 'seconds': 0.19805693626403809}
behavior 14/459 83d85891-bd75-4557-91b4-1cbb5f8bfc9d: {'eid': '83d85891-bd75-4557-91b4-1cbb5f8bfc9d', 'trials': 260, 'side': 'left', 'raw': 443, 'base_valid': 260, 'seconds': 0.19049954414367676}
behavior 15/459 aec5d3cc-4bb2-4349-80a9-0395b76f04e2: {'eid': 'aec5d3cc-4bb2-4349-80a9-0395b76f04e2', 'trials': 499, 'side': 'left', 'raw': 649, 'base_valid': 499, 'seconds': 0.2605454921722412}
behavior 16/459 21d21fc3-4201-4edc-802a-c67b61952548: {'eid': '21d21fc3-4201-4edc-802a-c67b61952548', 'trials': 369, 'side': 'left', 'raw': 548, 'base_valid': 369, 'seconds': 0.2569386959075928}
behavior 17/459 6ed57216-498d-48a6-b48b-a243a34710ea: {'eid': '6ed57216-498d-48a6-b48b-a243a34710ea', 'trials': 439, 'side': 'left', 'raw': 541, 'base_valid': 439, 'seconds': 0.22535014152526855}
behavior 18/459 35ed605c-1a1a-47b1-86ff-2b56144f55af: {'eid': '35ed605c-1a1a-47b1-86ff-2b56144f55af', 'trials': 403, 'side': 'left', 'raw': 522, 'base_valid': 403, 'seconds': 0.22790861129760742}
behavior 19/459 fa1f26a1-eb49-4b24-917e-19f02a18ac61: {'eid': 'fa1f26a1-eb49-4b24-917e-19f02a18ac61', 'trials': 493, 'side': 'left', 'raw': 605, 'base_valid': 493, 'seconds': 0.2505500316619873}
behavior 20/459 ee212778-3903-4f5b-ac4b-a72f22debf03: {'eid': 'ee212778-3903-4f5b-ac4b-a72f22debf03', 'trials': 338, 'side': 'left', 'raw': 522, 'base_valid': 338, 'seconds': 0.2579796314239502}
behavior 21/459 91a3353a-2da1-420d-8c7c-fad2fedfdd18: {'eid': '91a3353a-2da1-420d-8c7c-fad2fedfdd18', 'trials': 383, 'side': 'left', 'raw': 508, 'base_valid': 383, 'seconds': 0.23245811462402344}
behavior 22/459 5157810e-0fff-4bcf-b19d-32d4e39c7dfc: {'eid': '5157810e-0fff-4bcf-b19d-32d4e39c7dfc', 'trials': 203, 'side': 'left', 'raw': 434, 'base_valid': 203, 'seconds': 0.21586251258850098}
behavior 23/459 8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8: {'eid': '8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8', 'trials': 289, 'side': 'left', 'raw': 546, 'base_valid': 289, 'seconds': 0.22549867630004883}
behavior 24/459 71855308-7e54-41d7-a7a4-b042e78e3b4f: {'eid': '71855308-7e54-41d7-a7a4-b042e78e3b4f', 'trials': 193, 'side': 'left', 'raw': 516, 'base_valid': 193, 'seconds': 0.22748637199401855}
behavior 25/459 f359281f-6941-4bfd-90d4-940be22ed3c3: {'eid': 'f359281f-6941-4bfd-90d4-940be22ed3c3', 'trials': 236, 'side': 'left', 'raw': 463, 'base_valid': 236, 'seconds': 0.20765042304992676}
behavior 26/459 51e53aff-1d5d-4182-a684-aba783d50ae5: {'eid': '51e53aff-1d5d-4182-a684-aba783d50ae5', 'trials': 190, 'side': 'left', 'raw': 505, 'base_valid': 190, 'seconds': 0.23143982887268066}
behavior 27/459 537677fe-1e24-4755-948c-fa4a4e8ecce5: {'eid': '537677fe-1e24-4755-948c-fa4a4e8ecce5', 'trials': 234, 'side': 'left', 'raw': 474, 'base_valid': 234, 'seconds': 0.2296295166015625}
behavior 28/459 5bcafa14-71cb-42fa-8265-ce5cda1b89e0: {'eid': '5bcafa14-71cb-42fa-8265-ce5cda1b89e0', 'trials': 132, 'side': 'left', 'raw': 436, 'base_valid': 132, 'seconds': 0.25432491302490234}
behavior 29/459 d32876dd-8303-4720-8e7e-20678dc2fd71: {'eid': 'd32876dd-8303-4720-8e7e-20678dc2fd71', 'trials': 131, 'side': 'left', 'raw': 424, 'base_valid': 131, 'seconds': 0.248704195022583}
behavior 30/459 72982282-e493-45ee-87ce-aa45cb3a3ec1: {'eid': '72982282-e493-45ee-87ce-aa45cb3a3ec1', 'trials': 245, 'side': 'left', 'raw': 491, 'base_valid': 245, 'seconds': 0.2684023380279541}
behavior 31/459 6434f2f5-6bce-42b8-8563-d93d493613a2: {'eid': '6434f2f5-6bce-42b8-8563-d93d493613a2', 'trials': 193, 'side': 'left', 'raw': 401, 'base_valid': 193, 'seconds': 0.24289178848266602}
behavior 32/459 64e3fb86-928c-4079-865c-b364205b502e: {'eid': '64e3fb86-928c-4079-865c-b364205b502e', 'trials': 342, 'side': 'left', 'raw': 533, 'base_valid': 342, 'seconds': 0.22367548942565918}
behavior 33/459 15948667-747b-4702-9d53-354ac70e9119: {'eid': '15948667-747b-4702-9d53-354ac70e9119', 'trials': 183, 'side': 'left', 'raw': 439, 'base_valid': 183, 'seconds': 0.26270580291748047}
behavior 34/459 288bfbf3-3700-4abe-b6e4-130b5c541e61: {'eid': '288bfbf3-3700-4abe-b6e4-130b5c541e61', 'trials': 347, 'side': 'left', 'raw': 503, 'base_valid': 347, 'seconds': 0.2588672637939453}
behavior 35/459 fc43390d-457e-463a-9fd4-b94a0a8b48f5: {'eid': 'fc43390d-457e-463a-9fd4-b94a0a8b48f5', 'trials': 407, 'side': 'left', 'raw': 581, 'base_valid': 407, 'seconds': 0.29001736640930176}
behavior 36/459 a405053a-eb13-4aa4-850c-5a337e5dc7fd: {'eid': 'a405053a-eb13-4aa4-850c-5a337e5dc7fd', 'trials': 476, 'side': 'left', 'raw': 615, 'base_valid': 476, 'seconds': 0.27108216285705566}
behavior 37/459 93ad879a-aa42-4150-83e1-38773c9785e4: {'eid': '93ad879a-aa42-4150-83e1-38773c9785e4', 'trials': 419, 'side': 'left', 'raw': 551, 'base_valid': 419, 'seconds': 0.23476386070251465}
behavior 38/459 3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b: {'eid': '3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b', 'trials': 446, 'side': 'left', 'raw': 709, 'base_valid': 446, 'seconds': 0.2925891876220703}
behavior 39/459 a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e: {'eid': 'a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e', 'trials': 246, 'side': 'left', 'raw': 411, 'base_valid': 246, 'seconds': 0.2890348434448242}
behavior 40/459 8c025071-c4f3-426c-9aed-f149e8f75b7b: {'eid': '8c025071-c4f3-426c-9aed-f149e8f75b7b', 'trials': 288, 'side': 'left', 'raw': 531, 'base_valid': 288, 'seconds': 0.39078545570373535}
