processed 1/461 sessions; kept 1; dt=5.63s
processed 2/461 sessions; kept 2; dt=15.52s
processed 3/461 sessions; kept 3; dt=17.17s
processed 4/461 sessions; kept 4; dt=25.66s
processed 5/461 sessions; kept 5; dt=9.02s
processed 6/461 sessions; kept 6; dt=15.22s
processed 7/461 sessions; kept 7; dt=43.77s
processed 8/461 sessions; kept 8; dt=15.16s
processed 9/461 sessions; kept 9; dt=8.98s
processed 10/461 sessions; kept 10; dt=8.71s
processed 11/461 sessions; kept 11; dt=21.47s
processed 12/461 sessions; kept 12; dt=15.22s
processed 13/461 sessions; kept 13; dt=23.68s
processed 14/461 sessions; kept 14; dt=21.34s
processed 15/461 sessions; kept 15; dt=95.76s
processed 16/461 sessions; kept 16; dt=2.91s
processed 17/461 sessions; kept 17; dt=14.26s
processed 18/461 sessions; kept 18; dt=22.56s
processed 19/461 sessions; kept 19; dt=13.65s
processed 20/461 sessions; kept 20; dt=18.72s
processed 21/461 sessions; kept 21; dt=3.51s
processed 22/461 sessions; kept 22; dt=37.27s
processed 23/461 sessions; kept 23; dt=5.49s
processed 24/461 sessions; kept 24; dt=134.48s
processed 25/461 sessions; kept 25; dt=20.76s
processed 26/461 sessions; kept 26; dt=54.29s
processed 27/461 sessions; kept 27; dt=41.11s
processed 28/461 sessions; kept 28; dt=48.98s
processed 29/461 sessions; kept 29; dt=2.23s
processed 30/461 sessions; kept 30; dt=8.87s
processed 31/461 sessions; kept 31; dt=3.40s
processed 32/461 sessions; kept 32; dt=1.79s
processed 33/461 sessions; kept 33; dt=68.62s
processed 34/461 sessions; kept 34; dt=7.74s
processed 35/461 sessions; kept 35; dt=12.51s
processed 36/461 sessions; kept 36; dt=3.76s
processed 37/461 sessions; kept 37; dt=90.91s
processed 38/461 sessions; kept 38; dt=24.03s
processed 39/461 sessions; kept 39; dt=20.91s
processed 40/461 sessions; kept 40; dt=88.36s
processed 41/461 sessions; kept 41; dt=117.05s
processed 42/461 sessions; kept 42; dt=15.12s
processed 43/461 sessions; kept 43; dt=13.90s
processed 44/461 sessions; kept 44; dt=40.76s
processed 45/461 sessions; kept 45; dt=28.28s
processed 46/461 sessions; kept 46; dt=154.66s
processed 47/461 sessions; kept 47; dt=24.53s
processed 48/461 sessions; kept 48; dt=16.86s
processed 49/461 sessions; kept 49; dt=36.11s
processed 50/461 sessions; kept 50; dt=4.02s
processed 51/461 sessions; kept 51; dt=30.68s
processed 52/461 sessions; kept 52; dt=6.87s
processed 53/461 sessions; kept 53; dt=12.31s
processed 54/461 sessions; kept 54; dt=56.37s
processed 55/461 sessions; kept 55; dt=28.29s
processed 56/461 sessions; kept 56; dt=16.16s
processed 57/461 sessions; kept 57; dt=16.38s
processed 58/461 sessions; kept 58; dt=16.62s
processed 59/461 sessions; kept 59; dt=5.54s
processed 60/461 sessions; kept 60; dt=15.24s
processed 61/461 sessions; kept 61; dt=48.45s
processed 62/461 sessions; kept 62; dt=121.98s
processed 63/461 sessions; kept 63; dt=44.81s
processed 64/461 sessions; kept 64; dt=30.17s
processed 65/461 sessions; kept 65; dt=21.74s
processed 66/461 sessions; kept 66; dt=19.06s
processed 67/461 sessions; kept 67; dt=7.15s
processed 68/461 sessions; kept 68; dt=15.31s
processed 69/461 sessions; kept 69; dt=19.64s
processed 70/461 sessions; kept 70; dt=36.17s
processed 71/461 sessions; kept 71; dt=0.85s
processed 72/461 sessions; kept 72; dt=46.04s
processed 73/461 sessions; kept 73; dt=19.84s
processed 74/461 sessions; kept 74; dt=51.44s
processed 75/461 sessions; kept 75; dt=210.55s
processed 76/461 sessions; kept 76; dt=28.47s
processed 77/461 sessions; kept 77; dt=20.05s
processed 78/461 sessions; kept 78; dt=24.96s
processed 79/461 sessions; kept 79; dt=22.30s
processed 80/461 sessions; kept 80; dt=71.80s
processed 81/461 sessions; kept 81; dt=24.05s
processed 82/461 sessions; kept 82; dt=35.68s
processed 83/461 sessions; kept 83; dt=16.71s
processed 84/461 sessions; kept 84; dt=9.60s
processed 85/461 sessions; kept 85; dt=106.27s
processed 86/461 sessions; kept 86; dt=24.27s
processed 87/461 sessions; kept 87; dt=30.34s
processed 88/461 sessions; kept 88; dt=47.35s
processed 89/461 sessions; kept 89; dt=129.73s
processed 90/461 sessions; kept 90; dt=38.44s
processed 91/461 sessions; kept 91; dt=8.42s
processed 92/461 sessions; kept 92; dt=61.46s
processed 93/461 sessions; kept 93; dt=4.70s
processed 94/461 sessions; kept 94; dt=28.29s
processed 95/461 sessions; kept 95; dt=25.35s
processed 96/461 sessions; kept 96; dt=15.25s
processed 97/461 sessions; kept 97; dt=86.91s
processed 98/461 sessions; kept 98; dt=22.55s
processed 99/461 sessions; kept 99; dt=60.72s
processed 100/461 sessions; kept 100; dt=4.77s
processed 101/461 sessions; kept 101; dt=57.70s
