converting 459 sessions with 24 workers
[1/459] 21d21fc3-4201-4edc-802a-c67b61952548   61u  369tr   3.0s (elapsed 0.1m, eta 25.9m)
[2/459] 6713a4a7-faed-4df2-acab-ee4e63326f8d   61u  407tr   3.3s (elapsed 0.1m, eta 13.9m)
[3/459] 5569f363-0934-464e-9a5b-77c8e67791a1   85u  509tr   3.3s (elapsed 0.1m, eta 9.5m)
[4/459] 77e6dc6a-66ed-433c-b1a2-778c914f523c   85u  590tr   3.6s (elapsed 0.1m, eta 7.6m)
[5/459] fa1f26a1-eb49-4b24-917e-19f02a18ac61   98u  493tr   4.0s (elapsed 0.1m, eta 6.7m)
[6/459] b182b754-3c3e-4942-8144-6ee790926b58  147u  221tr   4.1s (elapsed 0.1m, eta 5.7m)
[7/459] 91a3353a-2da1-420d-8c7c-fad2fedfdd18   57u  383tr   4.3s (elapsed 0.1m, eta 5.0m)
[8/459] 8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8  136u  289tr   4.3s (elapsed 0.1m, eta 4.4m)
[9/459] ebe2efe3-e8a1-451a-8947-76ef42427cc9   92u  352tr   4.5s (elapsed 0.1m, eta 4.1m)
[10/459] ee212778-3903-4f5b-ac4b-a72f22debf03   95u  338tr   4.5s (elapsed 0.1m, eta 3.6m)
[11/459] 56956777-dca5-468c-87cb-78150432cc57  192u  244tr   4.7s (elapsed 0.1m, eta 3.5m)
[12/459] 032ffcdf-7692-40b3-b9ff-8def1fc18b2e  115u  267tr   4.8s (elapsed 0.1m, eta 3.2m)
[13/459] 4364a246-f8d7-4ce7-ba23-a098104b96e4  163u  147tr   4.8s (elapsed 0.1m, eta 3.0m)
[14/459] 7af49c00-63dd-4fed-b2e0-1b3bd945b20b  248u  321tr   5.3s (elapsed 0.1m, eta 3.0m)
[15/459] 5ec72172-3901-4771-8777-6e9490ca51fc  195u  695tr   5.3s (elapsed 0.1m, eta 2.9m)
[16/459] 83d85891-bd75-4557-91b4-1cbb5f8bfc9d  202u  260tr   5.4s (elapsed 0.1m, eta 2.7m)
[17/459] 6ed57216-498d-48a6-b48b-a243a34710ea  148u  439tr   5.8s (elapsed 0.1m, eta 2.7m)
[18/459] a8a8af78-16de-4841-ab07-fde4b5281a03  115u  337tr   5.9s (elapsed 0.1m, eta 2.5m)
[19/459] d32876dd-8303-4720-8e7e-20678dc2fd71   30u  131tr   1.8s (elapsed 0.1m, eta 2.4m)
[20/459] 35ed605c-1a1a-47b1-86ff-2b56144f55af  186u  403tr   6.0s (elapsed 0.1m, eta 2.3m)
[21/459] 64e3fb86-928c-4079-865c-b364205b502e   25u  342tr   2.0s (elapsed 0.1m, eta 2.4m)
[22/459] f88d4dd4-ccd7-400e-9035-fa00be3bcfa8  280u  226tr   6.5s (elapsed 0.1m, eta 2.3m)
[23/459] aec5d3cc-4bb2-4349-80a9-0395b76f04e2  316u  499tr   6.6s (elapsed 0.1m, eta 2.3m)
[24/459] 6434f2f5-6bce-42b8-8563-d93d493613a2   80u  193tr   2.4s (elapsed 0.1m, eta 2.2m)
[25/459] 71855308-7e54-41d7-a7a4-b042e78e3b4f  303u  193tr   7.1s (elapsed 0.1m, eta 2.2m)
[26/459] 8c33abef-3d3e-4d42-9f27-445e9def08f9  179u  486tr   7.3s (elapsed 0.1m, eta 2.1m)
[27/459] 5157810e-0fff-4bcf-b19d-32d4e39c7dfc  107u  203tr   7.4s (elapsed 0.1m, eta 2.1m)
[28/459] f359281f-6941-4bfd-90d4-940be22ed3c3   60u  236tr   4.7s (elapsed 0.1m, eta 2.1m)
[29/459] a405053a-eb13-4aa4-850c-5a337e5dc7fd   77u  476tr   2.9s (elapsed 0.1m, eta 2.0m)
[30/459] 288bfbf3-3700-4abe-b6e4-130b5c541e61   48u  347tr   3.2s (elapsed 0.1m, eta 1.9m)
[31/459] dfd8e7df-dc51-4589-b6ca-7baccfeb94b4   56u  371tr   2.5s (elapsed 0.1m, eta 2.0m)
[32/459] 72982282-e493-45ee-87ce-aa45cb3a3ec1   76u  245tr   4.8s (elapsed 0.2m, eta 2.1m)
[33/459] 51e53aff-1d5d-4182-a684-aba783d50ae5  249u  190tr   5.7s (elapsed 0.2m, eta 2.0m)
[34/459] 537677fe-1e24-4755-948c-fa4a4e8ecce5  175u  234tr   5.7s (elapsed 0.2m, eta 2.0m)
[35/459] c99d53e6-c317-4c53-99ba-070b26673ac4   56u  423tr   1.9s (elapsed 0.2m, eta 2.0m)
[36/459] 93ad879a-aa42-4150-83e1-38773c9785e4  215u  419tr   4.6s (elapsed 0.2m, eta 1.9m)
[37/459] fc43390d-457e-463a-9fd4-b94a0a8b48f5   94u  407tr   5.4s (elapsed 0.2m, eta 2.0m)
[38/459] 5bcafa14-71cb-42fa-8265-ce5cda1b89e0  131u  132tr   6.7s (elapsed 0.2m, eta 2.0m)
[39/459] b52182e7-39f6-4914-9717-136db589706e  151u  461tr   3.6s (elapsed 0.2m, eta 1.9m)
[40/459] 46794e05-3f6a-4d35-afb3-9165091a5a74   79u  535tr   4.2s (elapsed 0.2m, eta 1.9m)
[41/459] 034e726f-b35f-41e0-8d6c-a22cc32391fb  130u  438tr   4.8s (elapsed 0.2m, eta 1.9m)
[42/459] 85dc2ebd-8aaf-46b0-9284-a197aee8b16f  121u  407tr   2.6s (elapsed 0.2m, eta 1.9m)
[43/459] ecb5520d-1358-434c-95ec-93687ecd1396  122u  313tr   3.4s (elapsed 0.2m, eta 1.9m)
[44/459] 12dc8b34-b18e-4cdd-90a9-da134a9be79c   20u  420tr   2.2s (elapsed 0.2m, eta 1.9m)
[45/459] a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e  170u  246tr   6.4s (elapsed 0.2m, eta 1.9m)
[46/459] 15948667-747b-4702-9d53-354ac70e9119  210u  183tr   7.4s (elapsed 0.2m, eta 1.8m)
[47/459] 5386aba9-9b97-4557-abcd-abc2da66b863   59u  682tr   2.9s (elapsed 0.2m, eta 1.8m)
[48/459] 0deb75fb-9088-42d9-b744-012fb8fc4afb   63u  211tr   2.5s (elapsed 0.2m, eta 1.8m)
[49/459] 3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b  157u  446tr   7.1s (elapsed 0.2m, eta 1.8m)
[50/459] 3663d82b-f197-4e8b-b299-7b803a155b84  158u  594tr   4.9s (elapsed 0.2m, eta 1.8m)
[51/459] fa704052-147e-46f6-b190-a65b837e605e  107u  741tr   6.8s (elapsed 0.2m, eta 1.8m)
[52/459] d2918f52-8280-43c0-924b-029b2317e62c  207u  585tr   5.5s (elapsed 0.2m, eta 1.7m)
[53/459] SKIP d16a9a8d-5f42-4b49-ba58-1746f807fcc1: RuntimeError: only 3 well-isolated grey-matter units (minimum 5)
[54/459] 4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b  174u  559tr   6.2s (elapsed 0.2m, eta 1.7m)
[55/459] 7939711b-8b4d-4251-b698-b97c1eaa846e  207u  591tr   7.2s (elapsed 0.2m, eta 1.7m)
[56/459] d839491f-55d8-4cbe-a298-7839208ba12b  112u  326tr   6.2s (elapsed 0.2m, eta 1.7m)
[57/459] 2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e  116u  192tr   7.4s (elapsed 0.2m, eta 1.7m)
[58/459] 4b00df29-3769-43be-bb40-128b1cba6d35  109u  547tr   5.2s (elapsed 0.2m, eta 1.7m)
[59/459] fb70ebf7-8175-42b0-9b7a-7c6e8612226e  211u  484tr   3.7s (elapsed 0.3m, eta 1.7m)
[60/459] 28741f91-c837-4147-939e-918d38d849f2  105u  270tr   3.7s (elapsed 0.3m, eta 1.7m)
[61/459] eef82e27-c20e-48da-b4b7-c443031649e3  137u  226tr   4.7s (elapsed 0.3m, eta 1.7m)
[62/459] d2f5a130-b981-4546-8858-c94ae1da75ff  157u  355tr   4.0s (elapsed 0.3m, eta 1.7m)
[63/459] 57b5ae8f-d446-4161-b439-b191c5e3e77b   92u  369tr   4.0s (elapsed 0.3m, eta 1.7m)
[64/459] a71175be-d1fd-47a3-aa93-b830ea3634a1  109u  341tr   5.5s (elapsed 0.3m, eta 1.7m)
[65/459] 7dd27c2f-9544-448d-918d-be0f9837b0e0  124u  274tr   2.6s (elapsed 0.3m, eta 1.7m)
[66/459] 37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0  181u  358tr   4.2s (elapsed 0.3m, eta 1.7m)
[67/459] dda5fc59-f09a-4256-9fb5-66c67667a466  171u  436tr   4.5s (elapsed 0.3m, eta 1.6m)
[68/459] 8c025071-c4f3-426c-9aed-f149e8f75b7b  236u  288tr  11.0s (elapsed 0.3m, eta 1.6m)
[69/459] 7be8fec4-406b-4e74-8548-d2885dcc3d5e  155u  435tr   3.8s (elapsed 0.3m, eta 1.6m)
[70/459] 83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4   82u  576tr   7.9s (elapsed 0.3m, eta 1.6m)
[71/459] a1782f4f-86b0-480c-a7f2-3d8f1ab482ab   98u  514tr   2.3s (elapsed 0.3m, eta 1.6m)
[72/459] 3f71aa98-08c6-4e79-b4c8-00eae4f03eff  142u  467tr   2.4s (elapsed 0.3m, eta 1.6m)
[73/459] 0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3  152u  515tr   6.8s (elapsed 0.3m, eta 1.6m)
