459 sessions to process, 32 workers
[1/459] 03cf52f6-fba6-4743-a42e-dd1ac3072343 SKIP: no whisker motion energy (neither camera)  (0.8s; elapsed 1s, eta 396s)
[2/459] 0cf6d255-8f2f-463e-84fb-c54bacb79f51 444 trials, 104 neurons  (1.9s; elapsed 2s, eta 475s)
[3/459] 09156021-9a1d-4e1d-ae59-48cbde3c5d42 431 trials, 81 neurons  (2.0s; elapsed 2s, eta 325s)
[4/459] 032452e9-1886-449d-9c13-0f192572e19f 307 trials, 32 neurons  (2.1s; elapsed 2s, eta 250s)
[5/459] 113c5b6c-940e-4b21-b462-789b4c2be0e5 304 trials, 121 neurons  (2.3s; elapsed 2s, eta 217s)
[6/459] 0a018f12-ee06-4b11-97aa-bbbff5448e9f 306 trials, 122 neurons  (2.4s; elapsed 3s, eta 190s)
[7/459] 02fbb6da-3034-47d6-a61b-7d06c796a830 446 trials, 88 neurons  (2.4s; elapsed 3s, eta 165s)
[8/459] 0c828385-6dd6-4842-a702-c5075f5f5e81 467 trials, 120 neurons  (2.5s; elapsed 3s, eta 148s)
[9/459] 0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9 288 trials, 167 neurons  (2.5s; elapsed 3s, eta 133s)
[10/459] 10fac7a1-919d-4ca7-83c4-4675bd8d9416 396 trials, 89 neurons  (2.5s; elapsed 3s, eta 121s)
[11/459] 0deb75fb-9088-42d9-b744-012fb8fc4afb 211 trials, 63 neurons  (2.7s; elapsed 3s, eta 115s)
[12/459] 004d8fd5-41e7-4f1b-a45b-0d4ad76fe446 198 trials, 116 neurons  (2.8s; elapsed 3s, eta 108s)
[13/459] 04749a70-ac63-477d-8392-d4d529184fab 348 trials, 56 neurons  (2.8s; elapsed 3s, eta 101s)
[14/459] 08102cfc-a040-4bcf-b63c-faa0f4914a6f 125 trials, 28 neurons  (2.8s; elapsed 3s, eta 94s)
[15/459] 12dc8b34-b18e-4cdd-90a9-da134a9be79c 420 trials, 20 neurons  (2.2s; elapsed 3s, eta 91s)
[16/459] 11163613-a6c9-4975-9586-84dc00481547 593 trials, 110 neurons  (3.0s; elapsed 3s, eta 88s)
[17/459] 03d9a098-07bf-4765-88b7-85f8d8f620cc 372 trials, 82 neurons  (3.0s; elapsed 3s, eta 83s)
[18/459] 0b7ee1b6-42db-46cd-a465-08f531366187 628 trials, 73 neurons  (3.1s; elapsed 3s, eta 81s)
[19/459] 03063955-2523-47bd-ae57-f7489dd40f15 564 trials, 145 neurons  (3.7s; elapsed 4s, eta 90s)
[20/459] 0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3 515 trials, 152 neurons  (4.4s; elapsed 5s, eta 100s)
[21/459] 14127fdb-2e66-4823-b124-f49c128ba94d 370 trials, 150 neurons  (2.6s; elapsed 5s, eta 98s)
[22/459] 037d75ca-c90a-43f2-aca6-e86611916779 631 trials, 120 neurons  (4.6s; elapsed 5s, eta 95s)
[23/459] 0ac8d013-b91e-4732-bc7b-a1164ff3e445 674 trials, 94 neurons  (4.7s; elapsed 5s, eta 92s)
[24/459] 07dc4b76-5b93-4a03-82a0-b3d9cc73f412 441 trials, 199 neurons  (4.7s; elapsed 5s, eta 89s)
[25/459] 1425bd6f-c625-4f6a-b237-dc5bcfc42c87 632 trials, 51 neurons  (2.8s; elapsed 5s, eta 86s)
[26/459] 193fe7a8-4eb5-4f3e-815a-0c45864ddd77 443 trials, 50 neurons  (2.0s; elapsed 5s, eta 83s)
[27/459] 034e726f-b35f-41e0-8d6c-a22cc32391fb 438 trials, 130 neurons  (4.8s; elapsed 5s, eta 80s)
[28/459] 15763234-d21e-491f-a01b-1238eb96d389 566 trials, 171 neurons  (2.8s; elapsed 5s, eta 78s)
[29/459] 0cc486c3-8c7b-494d-aa04-b70e2690bcba 444 trials, 123 neurons  (5.0s; elapsed 5s, eta 76s)
[30/459] 158d5d35-a2ab-4a76-87b0-51048c5d5283 261 trials, 76 neurons  (2.8s; elapsed 5s, eta 74s)
[31/459] 0841d188-8ef2-4f20-9828-76a94d5343a4 286 trials, 120 neurons  (5.1s; elapsed 5s, eta 73s)
[32/459] 111c1762-7908-47e0-9f40-2f2ee55b6505 365 trials, 328 neurons  (5.2s; elapsed 5s, eta 73s)
[33/459] 0802ced5-33a3-405e-8336-b65ebc5cb07c 271 trials, 363 neurons  (5.5s; elapsed 6s, eta 74s)
[34/459] 032ffcdf-7692-40b3-b9ff-8def1fc18b2e 267 trials, 115 neurons  (5.6s; elapsed 6s, eta 72s)
[35/459] 15b69921-d471-4ded-8814-2adad954bcd8 610 trials, 127 neurons  (3.2s; elapsed 6s, eta 71s)
