Full release scope: 459 task sessions
Parallel full conversion with 16 session workers
OK 032452e9-1886-449d-9c13-0f192572e19f: 307/426 trials, 406 neurons, 1 probes, 20.6s
OK 09156021-9a1d-4e1d-ae59-48cbde3c5d42: 431/630 trials, 759 neurons, 1 probes, 21.9s
OK 02fbb6da-3034-47d6-a61b-7d06c796a830: 446/646 trials, 781 neurons, 1 probes, 23.0s
OK 04749a70-ac63-477d-8392-d4d529184fab: 348/593 trials, 931 neurons, 1 probes, 24.1s
OK 08102cfc-a040-4bcf-b63c-faa0f4914a6f: 125/406 trials, 672 neurons, 1 probes, 28.3s
OK 004d8fd5-41e7-4f1b-a45b-0d4ad76fe446: 198/692 trials, 1239 neurons, 1 probes, 29.0s
OK 03d9a098-07bf-4765-88b7-85f8d8f620cc: 372/581 trials, 983 neurons, 1 probes, 31.0s
OK 0802ced5-33a3-405e-8336-b65ebc5cb07c: 271/424 trials, 1547 neurons, 2 probes, 35.7s
OK 037d75ca-c90a-43f2-aca6-e86611916779: 631/842 trials, 1321 neurons, 1 probes, 38.5s
OK 034e726f-b35f-41e0-8d6c-a22cc32391fb: 438/589 trials, 1346 neurons, 2 probes, 38.8s
OK 07dc4b76-5b93-4a03-82a0-b3d9cc73f412: 441/692 trials, 1821 neurons, 2 probes, 39.7s
OK 0a018f12-ee06-4b11-97aa-bbbff5448e9f: 306/478 trials, 899 neurons, 1 probes, 19.4s
OK 03063955-2523-47bd-ae57-f7489dd40f15: 564/867 trials, 1343 neurons, 2 probes, 40.8s
OK 032ffcdf-7692-40b3-b9ff-8def1fc18b2e: 267/581 trials, 1673 neurons, 2 probes, 41.7s
OK 0841d188-8ef2-4f20-9828-76a94d5343a4: 286/505 trials, 1460 neurons, 2 probes, 42.7s
OK 0c828385-6dd6-4842-a702-c5075f5f5e81: 467/610 trials, 1186 neurons, 1 probes, 22.5s
OK 09b2c4d1-058d-4c84-9fd4-97530f85baf6: 421/598 trials, 1955 neurons, 2 probes, 45.3s
OK 09394481-8dd2-4d5c-9327-f2753ede92d7: 435/912 trials, 2461 neurons, 2 probes, 50.3s
